"module" "Zsummaries" "comp" "comp_group" "noise" "module_size"
"364" "orangered4" 14.96966 "c1" "c" 0.5 196
"365" "orangered4" 7.69771 "c2" "c" 0.5 196
"366" "orangered4" 6.73443 "c2" "c" 0.5 196
"367" "orangered4" 11.49218 "c2" "c" 0.5 196
"368" "orangered4" 15.66184 "c2" "c" 0.5 196
"369" "orangered4" 8.47153 "c3" "c" 0.5 196
"370" "orangered4" 6.3657 "c3" "c" 0.5 196
"371" "orangered4" 10.6784 "c3" "c" 0.5 196
"372" "orangered4" 15.23362 "c3" "c" 0.5 196
"373" "orangered4" 6.99107 "c4" "c" 0.5 196
"374" "orangered4" 5.78097 "c4" "c" 0.5 196
"375" "orangered4" 8.77213 "c4" "c" 0.5 196
"376" "orangered4" 13.58411 "c4" "c" 0.5 196
"377" "orangered4" 7.09947 "c5" "c" 0.5 196
"378" "orangered4" 6.12228 "c5" "c" 0.5 196
"379" "orangered4" 11.80638 "c5" "c" 0.5 196
"380" "orangered4" 14.90246 "c5" "c" 0.5 196
"381" "orangered4" 7.51556 "a1" "a" 0.5 196
"382" "orangered4" 6.01299 "a1" "a" 0.5 196
"383" "orangered4" 11.2669 "a1" "a" 0.5 196
"384" "orangered4" 15.57958 "a1" "a" 0.5 196
"385" "orangered4" 7.83011 "a2" "a" 0.5 196
"386" "orangered4" 6.53197 "a2" "a" 0.5 196
"387" "orangered4" 10.15874 "a2" "a" 0.5 196
"388" "orangered4" 14.06401 "a2" "a" 0.5 196
"389" "orangered4" 7.50267 "a3" "a" 0.5 196
"390" "orangered4" 6.62965 "a3" "a" 0.5 196
"391" "orangered4" 13.63704 "a3" "a" 0.5 196
"392" "orangered4" 13.47211 "a3" "a" 0.5 196
"393" "orangered4" 6.52117 "a4" "a" 0.5 196
"394" "orangered4" 6.4235 "a4" "a" 0.5 196
"395" "orangered4" 10.30599 "a4" "a" 0.5 196
"396" "orangered4" 14.35568 "a4" "a" 0.5 196
"397" "orangered4" 7.64706 "a5" "a" 0.5 196
"398" "orangered4" 6.27011 "a5" "a" 0.5 196
"399" "orangered4" 11.50748 "a5" "a" 0.5 196
"400" "orangered4" 12.72846 "a5" "a" 0.5 196
"401" "orangered4" 8.14406 "h1" "h" 0.5 196
"402" "orangered4" 5.68007 "h1" "h" 0.5 196
"403" "orangered4" 10.40792 "h1" "h" 0.5 196
"404" "orangered4" 13.63957 "h1" "h" 0.5 196
"405" "orangered4" 7.24767 "h2" "h" 0.5 196
"406" "orangered4" 5.88284 "h2" "h" 0.5 196
"407" "orangered4" 12.64265 "h2" "h" 0.5 196
"408" "orangered4" 13.92614 "h2" "h" 0.5 196
"409" "orangered4" 8.10602 "h3" "h" 0.5 196
"410" "orangered4" 6.6278 "h3" "h" 0.5 196
"411" "orangered4" 12.0483 "h3" "h" 0.5 196
"412" "orangered4" 15.34689 "h3" "h" 0.5 196
"413" "orangered4" 7.35055 "h4" "h" 0.5 196
"414" "orangered4" 6.10698 "h4" "h" 0.5 196
"415" "orangered4" 10.93981 "h4" "h" 0.5 196
"416" "orangered4" 15.68112 "h4" "h" 0.5 196
"417" "orangered4" 8.08676 "h5" "h" 0.5 196
"418" "orangered4" 6.723 "h5" "h" 0.5 196
"419" "orangered4" 12.34313 "h5" "h" 0.5 196
"420" "orangered4" 13.03853 "h5" "h" 0.5 196
"421" "mediumpurple3" 6.12243 "c1" "c" 1 196
"422" "mediumpurple3" 4.974 "c1" "c" 1 196
"423" "mediumpurple3" 9.8428 "c1" "c" 1 196
"424" "mediumpurple3" 10.41412 "c1" "c" 1 196
"425" "mediumpurple3" 6.75965 "c2" "c" 1 196
"426" "mediumpurple3" 6.48975 "c2" "c" 1 196
"427" "mediumpurple3" 9.1597 "c2" "c" 1 196
"428" "mediumpurple3" 10.56327 "c2" "c" 1 196
"429" "mediumpurple3" 8.21967 "c3" "c" 1 196
"430" "mediumpurple3" 5.32791 "c3" "c" 1 196
"431" "mediumpurple3" 12.09736 "c3" "c" 1 196
"432" "mediumpurple3" 13.1675 "c3" "c" 1 196
"433" "mediumpurple3" 6.73454 "c4" "c" 1 196
"434" "mediumpurple3" 6.80332 "c4" "c" 1 196
"435" "mediumpurple3" 9.40153 "c4" "c" 1 196
"436" "mediumpurple3" 11.76001 "c4" "c" 1 196
"437" "mediumpurple3" 6.31165 "c5" "c" 1 196
"438" "mediumpurple3" 6.63609 "c5" "c" 1 196
"439" "mediumpurple3" 9.58218 "c5" "c" 1 196
"440" "mediumpurple3" 11.08703 "c5" "c" 1 196
"441" "mediumpurple3" 7.66159 "a1" "a" 1 196
"442" "mediumpurple3" 6.16355 "a1" "a" 1 196
"443" "mediumpurple3" 10.14132 "a1" "a" 1 196
"444" "mediumpurple3" 11.25729 "a1" "a" 1 196
"445" "mediumpurple3" 7.63984 "a2" "a" 1 196
"446" "mediumpurple3" 5.69766 "a2" "a" 1 196
