"module" "comp" "comp_group" "noise" "score" "conserved" "module_size"
"285" "skyblue3" "h2" "h" 0.1 8.9218 FALSE 223
"286" "skyblue3" "h2" "h" 0.5 8.6644 FALSE 223
"287" "skyblue3" "h2" "h" 1 7.1513 FALSE 223
"288" "skyblue3" "h2" "h" 2 6.1797 FALSE 223
"289" "skyblue3" "h3" "h" 0.1 8.833 FALSE 223
"290" "skyblue3" "h3" "h" 0.5 8.758 FALSE 223
"291" "skyblue3" "h3" "h" 1 7.4122 FALSE 223
"292" "skyblue3" "h3" "h" 2 6.9497 FALSE 223
"293" "skyblue3" "h4" "h" 0.1 8.3387 FALSE 223
"294" "skyblue3" "h4" "h" 0.5 8.1566 FALSE 223
"295" "skyblue3" "h4" "h" 1 7.2955 FALSE 223
"296" "skyblue3" "h4" "h" 2 5.7006 FALSE 223
"297" "skyblue3" "h5" "h" 0.1 9.1858 FALSE 223
"298" "skyblue3" "h5" "h" 0.5 9.0477 FALSE 223
"299" "skyblue3" "h5" "h" 1 7.4783 FALSE 223
"300" "skyblue3" "h5" "h" 2 6.5111 FALSE 223
"301" "yellowgreen" "a1" "a" 0.1 9.9016 FALSE 227
"302" "yellowgreen" "a1" "a" 0.5 9.4847 FALSE 227
"303" "yellowgreen" "a1" "a" 1 9.3109 FALSE 227
"304" "yellowgreen" "a1" "a" 2 8.9921 FALSE 227
"305" "yellowgreen" "a2" "a" 0.1 9.8306 FALSE 227
"306" "yellowgreen" "a2" "a" 0.5 9.6138 FALSE 227
"307" "yellowgreen" "a2" "a" 1 8.3036 FALSE 227
"308" "yellowgreen" "a2" "a" 2 7.5702 FALSE 227
"309" "yellowgreen" "a3" "a" 0.1 10.5348 TRUE 227
"310" "yellowgreen" "a3" "a" 0.5 10.3325 TRUE 227
"311" "yellowgreen" "a3" "a" 1 9.5123 FALSE 227
"312" "yellowgreen" "a3" "a" 2 7.8013 FALSE 227
"313" "yellowgreen" "a4" "a" 0.1 10.241 TRUE 227
"314" "yellowgreen" "a4" "a" 0.5 10.1324 TRUE 227
"315" "yellowgreen" "a4" "a" 1 8.098 FALSE 227
"316" "yellowgreen" "a4" "a" 2 8.2358 FALSE 227
"317" "yellowgreen" "a5" "a" 0.1 10.6968 TRUE 227
"318" "yellowgreen" "a5" "a" 0.5 10.8175 TRUE 227
"319" "yellowgreen" "a5" "a" 1 9.8325 FALSE 227
"320" "yellowgreen" "a5" "a" 2 7.6694 FALSE 227
"321" "yellowgreen" "c1" "c" 0.1 9.7871 FALSE 227
"322" "yellowgreen" "c1" "c" 0.5 9.5068 FALSE 227
"323" "yellowgreen" "c1" "c" 1 8.6608 FALSE 227
"324" "yellowgreen" "c1" "c" 2 7.2643 FALSE 227
"325" "yellowgreen" "c2" "c" 0.1 9.9776 FALSE 227
"326" "yellowgreen" "c2" "c" 0.5 10.0267 TRUE 227
"327" "yellowgreen" "c2" "c" 1 8.2334 FALSE 227
"328" "yellowgreen" "c2" "c" 2 7.5579 FALSE 227
"329" "yellowgreen" "c3" "c" 0.1 10.2257 TRUE 227
"330" "yellowgreen" "c3" "c" 0.5 10.009 TRUE 227
"331" "yellowgreen" "c3" "c" 1 9.2741 FALSE 227
"332" "yellowgreen" "c3" "c" 2 7.2396 FALSE 227
"333" "yellowgreen" "c4" "c" 0.1 10.1992 TRUE 227
"334" "yellowgreen" "c4" "c" 0.5 10.2058 TRUE 227
"335" "yellowgreen" "c4" "c" 1 8.5185 FALSE 227
"336" "yellowgreen" "c4" "c" 2 7.6056 FALSE 227
"337" "yellowgreen" "c5" "c" 0.1 10.5282 TRUE 227
"338" "yellowgreen" "c5" "c" 0.5 10.1887 TRUE 227
"339" "yellowgreen" "c5" "c" 1 8.5941 FALSE 227
"340" "yellowgreen" "c5" "c" 2 7.4092 FALSE 227
"341" "yellowgreen" "h1" "h" 0.1 10.9558 TRUE 227
"342" "yellowgreen" "h1" "h" 0.5 10.9907 TRUE 227
"343" "yellowgreen" "h1" "h" 1 9.1818 FALSE 227
"344" "yellowgreen" "h1" "h" 2 7.2971 FALSE 227
"345" "yellowgreen" "h2" "h" 0.1 9.8994 FALSE 227
"346" "yellowgreen" "h2" "h" 0.5 9.7377 FALSE 227
"347" "yellowgreen" "h2" "h" 1 8.2613 FALSE 227
"348" "yellowgreen" "h2" "h" 2 7.2603 FALSE 227
"349" "yellowgreen" "h3" "h" 0.1 9.344 FALSE 227
"350" "yellowgreen" "h3" "h" 0.5 9.3548 FALSE 227
"351" "yellowgreen" "h3" "h" 1 8.8308 FALSE 227
"352" "yellowgreen" "h3" "h" 2 7.4763 FALSE 227
"353" "yellowgreen" "h4" "h" 0.1 9.6285 FALSE 227
"354" "yellowgreen" "h4" "h" 0.5 9.642 FALSE 227
"355" "yellowgreen" "h4" "h" 1 8.8829 FALSE 227
"356" "yellowgreen" "h4" "h" 2 7.3266 FALSE 227
"357" "yellowgreen" "h5" "h" 0.1 10.5018 TRUE 227
"358" "yellowgreen" "h5" "h" 0.5 10.4419 TRUE 227
"359" "yellowgreen" "h5" "h" 1 8.4794 FALSE 227
"360" "yellowgreen" "h5" "h" 2 8.8409 FALSE 227
"361" "sienna3" "a1" "a" 0.1 9.6497 FALSE 241
"362" "sienna3" "a1" "a" 0.5 9.4075 FALSE 241
"363" "sienna3" "a1" "a" 1 8.0917 FALSE 241
"364" "sienna3" "a1" "a" 2 7.1913 FALSE 241
"365" "sienna3" "a2" "a" 0.1 10.7945 TRUE 241
"366" "sienna3" "a2" "a" 0.5 10.669 TRUE 241
"367" "sienna3" "a2" "a" 1 9.2849 FALSE 241
"368" "sienna3" "a2" "a" 2 7.4788 FALSE 241
"369" "sienna3" "a3" "a" 0.1 9.753 FALSE 241
"370" "sienna3" "a3" "a" 0.5 9.8277 FALSE 241
"371" "sienna3" "a3" "a" 1 8.6814 FALSE 241
"372" "sienna3" "a3" "a" 2 7.0459 FALSE 241
"373" "sienna3" "a4" "a" 0.1 9.2419 FALSE 241
"374" "sienna3" "a4" "a" 0.5 9.0082 FALSE 241
"375" "sienna3" "a4" "a" 1 8.4163 FALSE 241
"376" "sienna3" "a4" "a" 2 6.6853 FALSE 241
"377" "sienna3" "a5" "a" 0.1 9.3225 FALSE 241
"378" "sienna3" "a5" "a" 0.5 9.3179 FALSE 241
"379" "sienna3" "a5" "a" 1 8.0748 FALSE 241
"380" "sienna3" "a5" "a" 2 6.736 FALSE 241
"381" "sienna3" "c1" "c" 0.1 9.4805 FALSE 241
"382" "sienna3" "c1" "c" 0.5 9.411 FALSE 241
"383" "sienna3" "c1" "c" 1 8.1762 FALSE 241
"384" "sienna3" "c1" "c" 2 7.1462 FALSE 241
"385" "sienna3" "c2" "c" 0.1 8.8586 FALSE 241
"386" "sienna3" "c2" "c" 0.5 8.7832 FALSE 241
"387" "sienna3" "c2" "c" 1 7.501 FALSE 241
"388" "sienna3" "c2" "c" 2 6.9923 FALSE 241
"389" "sienna3" "c3" "c" 0.1 10.1009 TRUE 241
"390" "sienna3" "c3" "c" 0.5 9.9347 FALSE 241
"391" "sienna3" "c3" "c" 1 8.5751 FALSE 241
"392" "sienna3" "c3" "c" 2 7.2747 FALSE 241
"393" "sienna3" "c4" "c" 0.1 10.2265 TRUE 241
"394" "sienna3" "c4" "c" 0.5 10.0184 TRUE 241
"395" "sienna3" "c4" "c" 1 8.6659 FALSE 241
"396" "sienna3" "c4" "c" 2 7.2653 FALSE 241
"397" "sienna3" "c5" "c" 0.1 9.8616 FALSE 241
"398" "sienna3" "c5" "c" 0.5 9.6937 FALSE 241
"399" "sienna3" "c5" "c" 1 8.3495 FALSE 241
"400" "sienna3" "c5" "c" 2 7.2155 FALSE 241
"401" "sienna3" "h1" "h" 0.1 9.8702 FALSE 241
"402" "sienna3" "h1" "h" 0.5 9.5464 FALSE 241
"403" "sienna3" "h1" "h" 1 8.8237 FALSE 241
"404" "sienna3" "h1" "h" 2 7.4479 FALSE 241
"405" "sienna3" "h2" "h" 0.1 9.8248 FALSE 241
"406" "sienna3" "h2" "h" 0.5 9.682 FALSE 241
"407" "sienna3" "h2" "h" 1 8.7566 FALSE 241
"408" "sienna3" "h2" "h" 2 7.5111 FALSE 241
"409" "sienna3" "h3" "h" 0.1 9.9483 FALSE 241
"410" "sienna3" "h3" "h" 0.5 10.0587 TRUE 241
"411" "sienna3" "h3" "h" 1 8.8489 FALSE 241
"412" "sienna3" "h3" "h" 2 8.463 FALSE 241
"413" "sienna3" "h4" "h" 0.1 9.136 FALSE 241
"414" "sienna3" "h4" "h" 0.5 8.9889 FALSE 241
"415" "sienna3" "h4" "h" 1 7.6374 FALSE 241
"416" "sienna3" "h4" "h" 2 7.0798 FALSE 241
"417" "sienna3" "h5" "h" 0.1 9.7793 FALSE 241
