"module" "Zsummaries" "comp" "module_size" "Case"
"443" "tan" -0.02813 "4p" 728 "D"
"444" "tan" 2.30491 "n4p" 728 "D"
"445" "tan" 2.22001 "4p" 728 "D"
"446" "tan" 2.3133 "n4p" 728 "D"
"447" "tan" 0.68488 "4p" 728 "D"
"448" "tan" 2.0399 "n4p" 728 "D"
"449" "tan" 1.78246 "4p" 728 "D"
"450" "tan" 1.14943 "n4p" 728 "D"
"451" "tan" 0.4246 "4p" 728 "D"
"452" "tan" 2.23805 "n4p" 728 "D"
"453" "tan" 1.34447 "4p" 728 "D"
"454" "tan" -0.70236 "n4p" 728 "D"
"455" "tan" 1.25759 "4p" 728 "D"
"456" "tan" 1.90869 "n4p" 728 "D"
"457" "tan" 0.38828 "4p" 728 "D"
"458" "tan" 0.41313 "n4p" 728 "D"
"459" "tan" 0.3698 "4p" 728 "D"
"460" "tan" 1.00124 "n4p" 728 "D"
"461" "tan" 1.62531 "4p" 728 "D"
"462" "tan" 1.15187 "n4p" 728 "D"
"463" "tan" -0.12809 "4p" 728 "D"
"464" "tan" -0.75393 "n4p" 728 "D"
"465" "greenyellow" 0.59807 "4p" 752 "D"
"466" "greenyellow" 1.79536 "n4p" 752 "D"
"467" "greenyellow" 2.12779 "4p" 752 "D"
"468" "greenyellow" 1.62129 "n4p" 752 "D"
"469" "greenyellow" -0.34182 "4p" 752 "D"
"470" "greenyellow" 0.68458 "n4p" 752 "D"
"471" "greenyellow" 0.90379 "4p" 752 "D"
"472" "greenyellow" 0.95152 "n4p" 752 "D"
"473" "greenyellow" 0.02741 "4p" 752 "D"
"474" "greenyellow" 1.51084 "n4p" 752 "D"
"475" "greenyellow" 0.68794 "4p" 752 "D"
"476" "greenyellow" 1.87567 "n4p" 752 "D"
"477" "greenyellow" 0.12792 "4p" 752 "D"
"478" "greenyellow" 2.02285 "n4p" 752 "D"
"479" "greenyellow" 1.73065 "4p" 752 "D"
"480" "greenyellow" 0.58 "n4p" 752 "D"
"481" "greenyellow" 0.65954 "4p" 752 "D"
"482" "greenyellow" 1.09928 "n4p" 752 "D"
"483" "greenyellow" 0.28814 "4p" 752 "D"
"484" "greenyellow" 0.4515 "n4p" 752 "D"
"485" "greenyellow" 0.85998 "4p" 752 "D"
"486" "greenyellow" -0.59393 "n4p" 752 "D"
"487" "greenyellow" 0.65792 "4p" 752 "D"
"488" "greenyellow" 0.89941 "n4p" 752 "D"
"489" "purple" 0.74677 "4p" 858 "B"
"490" "purple" 3.63278 "n4p" 858 "B"
"491" "purple" -0.24317 "4p" 858 "B"
"492" "purple" 6.33836 "n4p" 858 "B"
"493" "purple" 6.68933 "4p" 858 "B"
"494" "purple" 0.09936 "n4p" 858 "B"
"495" "purple" 0.40603 "4p" 858 "B"
"496" "purple" 3.5352 "n4p" 858 "B"
"497" "purple" 2.57439 "4p" 858 "B"
"498" "purple" 3.3139 "n4p" 858 "B"
"499" "purple" 2.98489 "4p" 858 "B"
"500" "purple" -0.55872 "n4p" 858 "B"
"501" "purple" 5.36344 "4p" 858 "B"
"502" "purple" 2.76344 "n4p" 858 "B"
"503" "purple" -0.13821 "4p" 858 "B"
"504" "purple" 1.0301 "n4p" 858 "B"
"505" "purple" 0.89557 "4p" 858 "B"
"506" "purple" 1.24252 "n4p" 858 "B"
"507" "purple" 8.39618 "4p" 858 "B"
"508" "purple" -0.2093 "n4p" 858 "B"
"509" "purple" -0.2131 "4p" 858 "B"
"510" "purple" 0.44076 "n4p" 858 "B"
"511" "purple" 2.01126 "4p" 858 "B"
"512" "purple" 1.55513 "n4p" 858 "B"
"513" "purple" 3.5534 "4p" 858 "B"
"514" "purple" 0.87023 "n4p" 858 "B"
"515" "purple" 2.9204 "4p" 858 "B"
"516" "purple" 1.45463 "n4p" 858 "B"
"517" "magenta" 0.29917 "4p" 861 "D"
"518" "magenta" 1.39043 "n4p" 861 "D"
"519" "magenta" 0.45676 "4p" 861 "D"
"520" "magenta" 2.75494 "n4p" 861 "D"
"521" "magenta" -0.02932 "4p" 861 "D"
"522" "magenta" 1.88392 "n4p" 861 "D"
"523" "magenta" 0.83544 "4p" 861 "D"
