"D154" "D151" "D171" "D135" "D168" "D159"
"DIABRO_000224" 7.24960701811278 5.98329955144691 6.32913429871478 7.229322936666 6.76916660781338 7.87522864950332
"DIABRO_000225" 7.92169175643684 8.52004583254299 8.06586238603637 7.85059432099083 8.81561348707045 7.13667240821437
"DIABRO_000226" 8.84549026686563 9.54804494057265 9.05432737243036 9.00735267912974 9.57506010628346 9.06337950698279
"DIABRO_000227" 5.88545959572499 5.95923801896697 6.24884814558559 5.88581051182048 5.93420872178156 5.75526423602029
"DIABRO_000228" 9.04180767430904 10.3043413408514 9.94080722207878 9.17030220808371 9.95638463002679 9.35448769598393
"DIABRO_000229" 5.91932537035558 8.016260537211 8.09909010262965 6.04403421127023 8.16519766050166 8.0181274024046
"DIABRO_000230" 10.9283372018063 7.87662053809626 10.4701045497839 10.2568666276652 8.09762872368246 9.44062295396568
"DIABRO_000231" 8.88927334812179 9.2367369198185 7.87570460127338 9.2271655235332 9.64568583626007 8.56697827102126
"DIABRO_000233" 10.4005628032603 10.7108430572468 10.282472203029 10.4711649949766 10.265510609272 10.4809475467716
"DIABRO_000235" 11.5999204376556 12.0620937711366 11.9973241082799 11.8744326319517 12.1715080816632 12.1493613353675
"DIABRO_000236" 16.4849297704839 16.078684263405 14.9906849225464 15.2580028905828 15.3718378413171 15.4076968125701
"DIABRO_000237" 8.77563229853284 9.23497994797424 8.80122974180801 8.50789103933236 8.94089761763298 8.4342126018943
"DIABRO_000238" 7.80877907995513 8.32430180821291 8.4167767453957 7.95351710411119 8.5740135836732 8.74868471582283
"DIABRO_000239" 9.84240413337981 10.1276377394898 9.63438000477405 9.3129761321876 9.88477207846615 9.97497462458581
"DIABRO_000240" 7.47354285847992 6.34556618249353 8.21170791587489 7.09314441419095 6.15568012519531 6.76037004299572
"DIABRO_000241" 8.32093363609029 7.03912620727631 8.92946813412665 7.93449338593941 7.28013692185317 7.76076287426838
"DIABRO_000242" 12.4388978185688 12.8550130284506 12.9753427647855 12.5353770611386 12.8593257947317 12.8967391503176
"DIABRO_000243" 6.69207341841378 6.79192708892883 7.36783932772018 7.40304558701557 7.3157235707006 7.02603265183126
"DIABRO_000244" 7.04664892688386 7.22333062959791 7.32715909903603 7.81972285660065 7.5559236384239 7.53534281490767
"DIABRO_000245" 10.1655954645691 11.6213179994885 9.44714365542352 10.2129994347526 11.6356650085482 9.47789068087833
"DIABRO_000246" 11.3074294102837 11.5498545356158 11.2223897282339 11.6805885883394 11.8249354951271 11.4077378471124
"DIABRO_000247" 8.33798861834217 8.75486904222333 8.42051419739927 8.22324215623659 8.64732838659518 8.54190739399787
"DIABRO_000248" 7.83332984569863 6.02932837731294 7.04184766251286 7.57543430759046 6.13928276547881 7.4435727154336
