"noise" "comp_group" "module" "cons"
"397" 2 "a" "lightyellow" 0
"398" 2 "a" "magenta" 0
"399" 2 "a" "mediumpurple3" 0
"400" 2 "a" "midnightblue" 0
"401" 2 "a" "orange" 0
"402" 2 "a" "orangered4" 0
"403" 2 "a" "paleturquoise" 1
"404" 2 "a" "pink" 0
"405" 2 "a" "plum1" 0
"406" 2 "a" "purple" 0
"407" 2 "a" "red" 0
"408" 2 "a" "royalblue" 0
"409" 2 "a" "saddlebrown" NA
"410" 2 "a" "salmon" 0
"411" 2 "a" "sienna3" 0
"412" 2 "a" "skyblue" NA
"413" 2 "a" "skyblue3" 0
"414" 2 "a" "steelblue" 0
"415" 2 "a" "tan" 0
"416" 2 "a" "turquoise" 0
"417" 2 "a" "violet" 0
"418" 2 "a" "white" 0
"419" 2 "a" "yellow" NA
"420" 2 "a" "yellowgreen" 0
"421" 2 "c" "black" 0
"422" 2 "c" "blue" 0
"423" 2 "c" "brown" 0
"424" 2 "c" "cyan" 0
"425" 2 "c" "darkgreen" 0
"426" 2 "c" "darkgrey" 0
"427" 2 "c" "darkmagenta" 0
"428" 2 "c" "darkolivegreen" 0
"429" 2 "c" "darkorange" 0
"430" 2 "c" "darkred" 0
"431" 2 "c" "darkturquoise" 0
"432" 2 "c" "green" 5
"433" 2 "c" "greenyellow" 0
"434" 2 "c" "grey" 0
"435" 2 "c" "grey60" 1
"436" 2 "c" "lightcyan" 0
"437" 2 "c" "lightgreen" 0
"438" 2 "c" "lightsteelblue1" 1
"439" 2 "c" "lightyellow" 0
"440" 2 "c" "magenta" 0
"441" 2 "c" "mediumpurple3" 0
"442" 2 "c" "midnightblue" 0
"443" 2 "c" "orange" 0
"444" 2 "c" "orangered4" 0
"445" 2 "c" "paleturquoise" 0
"446" 2 "c" "pink" 0
"447" 2 "c" "plum1" 0
"448" 2 "c" "purple" 0
"449" 2 "c" "red" 0
"450" 2 "c" "royalblue" 0
"451" 2 "c" "saddlebrown" NA
"452" 2 "c" "salmon" 0
"453" 2 "c" "sienna3" 0
"454" 2 "c" "skyblue" NA
"455" 2 "c" "skyblue3" 0
"456" 2 "c" "steelblue" 0
"457" 2 "c" "tan" 0
"458" 2 "c" "turquoise" 0
"459" 2 "c" "violet" 0
"460" 2 "c" "white" 0
"461" 2 "c" "yellow" NA
"462" 2 "c" "yellowgreen" 0
"463" 2 "h" "black" 0
"464" 2 "h" "blue" 0
"465" 2 "h" "brown" 0
"466" 2 "h" "cyan" 0
"467" 2 "h" "darkgreen" 0
"468" 2 "h" "darkgrey" 0
"469" 2 "h" "darkmagenta" 0
"470" 2 "h" "darkolivegreen" 0
"471" 2 "h" "darkorange" 0
"472" 2 "h" "darkred" 0
"473" 2 "h" "darkturquoise" 0
"474" 2 "h" "green" 5
"475" 2 "h" "greenyellow" 0
"476" 2 "h" "grey" 0
"477" 2 "h" "grey60" 2
"478" 2 "h" "lightcyan" 0
"479" 2 "h" "lightgreen" 0
"480" 2 "h" "lightsteelblue1" 0
"481" 2 "h" "lightyellow" 0
"482" 2 "h" "magenta" 0
"483" 2 "h" "mediumpurple3" 0
"484" 2 "h" "midnightblue" 0
"485" 2 "h" "orange" 0
"486" 2 "h" "orangered4" 0
"487" 2 "h" "paleturquoise" 0
"488" 2 "h" "pink" 0
"489" 2 "h" "plum1" 0
"490" 2 "h" "purple" 0
"491" 2 "h" "red" 0
"492" 2 "h" "royalblue" 0
"493" 2 "h" "saddlebrown" NA
"494" 2 "h" "salmon" 0
"495" 2 "h" "sienna3" 0
"496" 2 "h" "skyblue" NA
"497" 2 "h" "skyblue3" 0
"498" 2 "h" "steelblue" 0
"499" 2 "h" "tan" 0
"500" 2 "h" "turquoise" 0
"501" 2 "h" "violet" 0
"502" 2 "h" "white" 0
"503" 2 "h" "yellow" NA
"504" 2 "h" "yellowgreen" 0
